Year;Latitude;Longitude;Depth;Mw
2020;35.1108;27.8878;5;4.1
2020;35.2403;27.8078;11.8;3.7
2020;39.0335;27.8197;6.3;3.7
2020;35.3953;27.8862;5.5;3.7
2020;35.093;27.869;8.6;3.5
2020;35.3107;27.8582;9.3;3.6
2020;35.2078;27.8302;2.9;4
2020;35.2578;27.7038;54.8;3.9
2020;35.164;27.8722;5;5.5
2020;36.7327;44.7793;1.1;3.5
2020;36.8307;44.9645;5;4.8
2020;35.2475;27.8305;5;4.5
2020;35.372;27.9032;84.2;4.2
2020;35.2705;27.9333;7.8;4.2
2020;38.4335;39.3038;5.9;4.1
2020;35.1688;27.9028;6.4;4.5
2020;40.17;42.6058;5;3.4
2020;39.0155;27.8498;10.6;4.5
2020;35.2028;27.899;9.9;3.5
2020;35.1488;27.9365;5;4.4
2020;35.2912;28.0003;5;4.1
2020;35.0728;28.0097;5;3.5
2020;35.24;27.8698;5.8;5.5
2020;39.0925;27.838;13.7;4.2
2020;39.0685;27.8478;16.1;3.9
2020;39.089;27.8117;11.9;3.8
2020;39.1045;27.8383;13.6;5.1
2020;38.4008;39.1975;3.7;3.5
2020;39.017;27.8468;6.8;3.6
2020;38.3815;39.1222;5;4
2020;38.9898;27.8397;8.8;3.8
2020;38.5215;39.312;1;3.5
2020;39.0742;27.8145;6.8;3.5
2020;38.1762;38.6835;5;3.4
2020;38.4557;39.1317;1.2;3.5
2020;38.4158;39.148;5;3.6
2020;38.4075;39.1408;2.6;4.5
2020;40.1088;33.2413;7.2;3.9
2020;39.0548;27.8153;7.9;3.5
2020;38.5092;39.363;5;3.4
2020;38.4682;39.2707;5;3.4
2020;38.2837;38.8137;5;3.5
2020;38.4665;39.1722;5;3.5
2020;38.278;38.7543;4.3;3.8
2020;39.0632;27.8145;10.7;3.6
2020;38.3583;39.1207;5.1;4
2020;39.008;27.8415;10.4;3.7
2020;38.3935;39.2048;5.4;3.5
2020;38.4173;39.2083;4;3.8
2020;38.256;38.7947;5;4.5
2020;39.0165;27.8288;4.8;3.6
2020;39.0172;27.8432;11.5;3.9
2020;39.0267;27.8145;9.1;3.6
2020;38.4853;39.3077;6.2;3.4
2020;38.1858;38.7433;3.9;4
2020;39.0388;27.8338;13.2;4.1
2020;38.3755;39.1152;5.4;3.8
2020;38.4195;39.1263;5;4
2020;38.4085;39.04;13.7;3.5
2020;38.429;39.1558;5;3.8
2020;38.3553;39.1012;5.1;5
2020;38.361;39.0712;5;3.5
2020;38.2208;38.7908;5;4.6
2020;38.3247;38.8133;1;3.9
2020;38.2583;38.7928;5;3.5
2020;38.5088;39.2992;2.7;4.2
2020;38.9947;27.8448;9;3.4
2020;38.2622;38.7857;5;3.9
2020;38.2998;38.807;3.5;3.7
2020;39.0215;27.8312;4;3.6
2020;39.0743;27.8247;7.9;3.5
2020;38.3413;39.0625;5.4;4.3
2020;39.002;27.8637;9.5;3.4
2020;38.3772;39.0577;5;3.7
2020;38.3825;39.0325;5;3.5
2020;38.3652;39.1215;13.2;3.7
2020;38.2907;38.7955;4.5;3.5
2020;38.4213;39.2198;5;3.9
2020;38.3892;39.0632;5;3.8
2020;38.4768;39.1618;5;4.3
2020;38.5183;39.2795;4.2;3.6
2020;38.3238;38.9757;5;3.9
2020;38.3668;39.1917;9.6;3.5
2020;38.4247;39.1743;5;3.5
2020;39.0588;27.833;4;3.9
2020;38.3428;39.0492;5;3.9
2020;38.4318;39.1712;5;4.2
2020;38.3525;39.063;5;4
2020;38.295;38.747;5;3.9
2020;38.2825;38.7863;5;3.7
2020;38.4117;38.6048;3.9;3.9
2020;38.3703;39.1405;5;4.2
2020;38.306;39.0318;5;3.9
2020;38.4497;39.2058;5;4.1
2020;38.2398;38.7123;7.3;3.7
2020;38.2313;38.7195;5;4.5
2020;38.4638;39.206;5;4
2020;38.2708;38.7533;5;3.6
2020;38.2895;38.7108;5.8;4.1
2020;38.3537;38.9288;5;4.6
2020;38.5078;39.3247;5.4;3.4
2020;38.2387;38.7;2.6;4.4
2020;38.2335;38.8843;5.2;3.9
2020;38.4193;39.0557;5;4.3
2020;38.4175;38.6952;7.1;3.8
2020;38.4038;38.9562;5;3.5
2020;38.4503;38.9687;5;4.2
2020;38.2552;39.0275;6.6;3.5
2020;38.4072;39.187;3.5;4.4
2020;38.4322;39.0325;5;3.6
2020;38.5052;39.0058;14.9;3.8
2020;38.3922;39.0847;5;6.5
2020;39.0255;27.8813;10.5;3.7
2020;39.0777;27.8255;6.4;3.7
2020;37.6038;26.7142;8.2;3.8
2020;39.025;27.8748;6.6;4
2020;39.0395;27.8417;8.8;3.7
2020;39.0653;27.8208;9.9;3.4
2020;39.0068;27.8577;3.2;3.4
2020;39.005;27.8155;14;3.6
2020;39.0803;27.8338;7.7;3.5
2020;39.0275;27.8465;7.7;3.9
2020;40.1127;33.2528;6.2;4.5
2020;40.1078;33.2668;6.8;3.9
2020;39.0457;27.8445;11.6;3.7
2020;39.0225;27.8302;13.7;3.4
2020;39.0467;27.8533;12;3.6
2020;39.04;27.8467;10.2;4.3
2020;39.0865;27.8298;6.8;3.5
2020;39.0585;27.8145;7.2;3.5
2020;39.0753;27.8205;7.9;3.3
2020;39.0292;27.855;12.5;4.2
2020;39.0657;27.8598;13.9;4
2020;39.0148;27.8438;6;3.6
2020;39.0578;27.832;7.5;3.3
2020;39.0392;27.8405;9.6;4
2020;39.0383;27.8445;4.8;3.5
2020;39.046;27.8457;13.7;3.9
2020;39.071;27.8367;8.6;3.7
2020;39.0472;27.8208;10.2;3.5
2020;39.0513;27.8515;10.6;3.8
2020;39.0642;27.8477;11.6;4.3
2020;38.994;27.8545;6.4;3.8
2020;39.0237;27.847;10.7;3.3
2020;39.0833;27.8312;12.9;3.9
2020;39.0703;27.8318;10.5;3.6
2020;39.0737;27.8413;12.7;4.4
2020;39.0577;27.839;12.2;5.6
2020;37.8695;27.9408;4.9;3.5
2020;38.8637;27.289;8.9;4
2020;39.5442;37.6858;2.5;3.5
2020;41.0132;44.0427;1;3.9
2020;40.8613;28.2268;14.4;4.6
